phi,rho,eps,theta,alpha,mu,r,b,gamma,Tumor
0.418363002632825,0.569062356220421,0.237574419053588,8.45279478157685E-06,5.4470509813166E-08,0.00332551692493496,0.0884419577232299,1.60844180178534E-12,1.86007870882494E-06,116.7
0.330010508133112,0.396773476921865,0.173784671115466,2.73292385363064E-06,6.02468081040357E-08,0.00218132154797221,0.083046299739214,1.03229787375094E-12,1.85176350462553E-06,140.1
0.287211307396494,0.357697885084559,0.0982111709546908,5.34296866943801E-06,5.54462661798392E-08,0.00619235283364721,0.0808835310611039,1.84803197519976E-12,1.55982628520215E-06,135
0.283219747888027,0.369566572929445,0.205002748319958,9.30811474933588E-06,4.67031489061337E-08,0.00460326706392237,0.0878018311339794,1.96014273671223E-12,1.75893742797535E-06,135.6
0.175048144318553,0.315988275543661,0.163145137292131,3.47698376990791E-06,6.85616433773698E-08,0.0030805453280668,0.0803094327309011,1.23630349664008E-12,1.58852279581052E-06,124.7
0.309458559373771,0.320285396391801,0.0908075369378538,8.14423261756392E-06,6.67680348403254E-08,0.00737999739062451,0.0838998428583744,1.13209120534079E-12,2.13738096022266E-06,135.6
0.182670120697751,0.202845427913062,0.062983464764838,7.96755742043893E-06,5.9055140663457E-08,0.00200345487817559,0.088364254828605,1.30836475362762E-12,1.63045557896164E-06,108.9
0.317829755219368,0.41195024112102,0.108147160400262,4.83536727936288E-06,5.73717544407354E-08,0.00380347432678183,0.0828560313719403,1.78076783598456E-12,1.69803203197317E-06,128.3
0.245098897209017,0.303092769418294,0.150220355594357,4.75034923126223E-06,5.98080350374267E-08,0.00597433675744601,0.0871112686695665,1.01912126008285E-12,1.97032963950763E-06,119.8
0.182349325159573,0.209388342170442,0.183433085019797,3.30804214403984E-06,6.97765539592643E-08,0.00260687414956479,0.0858151005632055,1.43843986882496E-12,2.42472841959755E-06,159.2
0.420381790836831,0.50669493807238,0.214332609583781,8.95059451779644E-06,5.8846792421546E-08,0.00426597410040434,0.0880759141101043,1.25218895223884E-12,1.61110969657615E-06,110.1
0.339504261257046,0.503807539414924,0.188753060858503,7.17055308004767E-06,6.04189046403782E-08,0.00293367256679165,0.0891165896213655,1.69010983441193E-12,1.97027010760719E-06,111.6
0.392591686454782,0.469038699025325,0.135197914290896,9.5804275591358E-06,5.50501333199109E-08,0.00349146338109656,0.0880458293923949,1.26452248493258E-12,1.50824604498119E-06,109.6
0.259550378247583,0.373313496278026,0.193701963832401,4.87162860590339E-06,6.56230136980903E-08,0.00332778544943032,0.0799328816398726,1.85022375990512E-12,1.65831749248633E-06,133.3
0.416353868286192,0.46010949074959,0.142111836084516,2.51934286564479E-06,7.14469529681133E-08,0.00373855435950791,0.0884073612606844,1.34181221411329E-12,2.42524762395598E-06,116.6
0.289449310480009,0.358242969350997,0.0742107433996399,9.18642650863349E-06,6.67382089523319E-08,0.00787211720253032,0.0871484995454714,1.50282097530244E-12,1.64872942382078E-06,109.1
0.141256784118795,0.215554077342874,0.0760135016560916,7.59396987122411E-06,6.45538762806191E-08,0.00566333492201956,0.0825969956392504,1.04206949040435E-12,1.89832343574283E-06,128.7
0.266161132651484,0.310808723496447,0.105263739633027,3.81186088053831E-06,5.80733950849355E-08,0.00678659552820646,0.0894774481794601,1.90300321965779E-12,1.90796540754311E-06,111.3
0.251309974105556,0.254109014584661,0.1111554340547,7.40294102207535E-06,6.81216082632775E-08,0.00250286134251419,0.0827186934483949,2.02603957598412E-12,1.86404054801007E-06,126.9
0.383518797373523,0.483931623957884,0.214533910412421,3.36727107853483E-06,4.6322658409777E-08,0.00775864816303417,0.0896118168676343,1.18467165171336E-12,1.81844950804568E-06,124.1
0.127484631304466,0.156524706352217,0.0662594973695137,5.02064444829489E-06,6.38523138918E-08,0.0060910994188376,0.0839441601954308,1.76834483314009E-12,2.19846064556783E-06,147.8
0.347017774837875,0.493140417088444,0.180734437331854,5.79459730366649E-06,5.97625549325794E-08,0.00642221282122418,0.0877699001922521,1.09895522991036E-12,2.36116663096209E-06,133.6
0.279364518354332,0.393620750835109,0.142523608900706,9.06615662816894E-06,6.52379341841666E-08,0.00742121424501891,0.081842833725238,9.98829725235857E-13,1.49232992663676E-06,119.7
0.183051432508279,0.313719371058406,0.213772982038069,8.59106644027545E-06,5.79826743564979E-08,0.00528941917791105,0.0799939212231375,1.4591585186643E-12,1.62702807398163E-06,154.2
0.10894176159306,0.128480215712009,0.209891576288148,7.20115410046023E-06,7.04118210981754E-08,0.00644299730588227,0.084157272587413,1.78553659874097E-12,1.62330108206684E-06,115.7
0.168282068174052,0.264514895270956,0.127609195075074,3.75131222198588E-06,3.96792232609505E-08,0.00346462058508219,0.0863506968231202,1.8403170288365E-12,1.60461239313163E-06,253
0.410451081117728,0.456201329756688,0.105521594606327,8.01448153841808E-06,6.58427998874379E-08,0.00521890025417361,0.0893525939837439,1.5901685618812E-12,2.85668511824335E-06,159
0.241238405954822,0.291314015962524,0.188173304689967,4.41605894873666E-06,6.945740093956E-08,0.0053835053444325,0.0838987782386035,7.49288722758491E-13,1.84756551791521E-06,120.9
0.413016680058545,0.512819262855879,0.204352839913572,8.27448115283929E-06,6.14869241878982E-08,0.00253730318754901,0.0892829966490536,1.86010831352446E-12,1.52129957036055E-06,105.5
0.167660731791368,0.226337781184998,0.118056281987197,8.83936779295715E-06,6.36648197268317E-08,0.00587577960912129,0.0851629244744337,1.4079627944406E-12,2.25025377842958E-06,141.9
0.361244175174852,0.438023406622894,0.191127878546169,3.71021518876848E-06,7.12271479563534E-08,0.00278823269033188,0.0901322200659331,1.08989457532786E-12,1.54981350745831E-06,102.3
0.144023327106686,0.199522958308073,0.074616382138486,7.48488556113409E-06,7.03167242748992E-08,0.00680419274507992,0.0876847762977376,1.00971892700427E-12,2.25969316852429E-06,115.1
0.151879634857125,0.333761492766537,0.23752104163499,9.09677077176891E-06,6.93806135608194E-08,0.00412806434566739,0.0899404324599124,9.47485889633195E-13,2.64442230644239E-06,116.8
0.337582398759554,0.427464914819833,0.17604713004288,7.68068039043584E-06,6.06476009445683E-08,0.00430985060464198,0.0862707613769455,1.85326331988644E-12,1.68002155744565E-06,114.6
0.373081506956365,0.45161318159567,0.123872195367903,7.4906676261407E-06,5.9701433540276E-08,0.00636412773503213,0.0865902531004362,1.99901313737559E-12,1.96574934896725E-06,120.6
0.335143168941452,0.344220373534502,0.149946303456439,2.65417061862612E-06,6.69194764696927E-08,0.00762369005305973,0.08585737641988,1.56659811466178E-12,1.66315481743252E-06,113
0.112904192629835,0.126129061031443,0.225582730786259,4.29157885407192E-06,7.02492448259826E-08,0.00470604156596976,0.0863862947846235,7.97276040608181E-13,1.94358658593316E-06,115.6
0.292214571658781,0.380470574241372,0.0907792214835861,8.99418712590546E-06,6.01385576027646E-08,0.00332128772843986,0.0880949534516794,1.83090140216575E-12,1.70880422224883E-06,110
0.173445319420826,0.263459901536094,0.149221718576408,5.63290790057971E-06,5.60799786972872E-08,0.00304738691869698,0.0879790211829895,9.95797116324985E-13,1.56999540025391E-06,110.2
0.392354418607147,0.500876193805601,0.229328378472495,6.84924943078045E-06,6.91122316908041E-08,0.00647784622654724,0.0828732597820371,1.71944005337425E-12,1.87098928131479E-06,125.8
0.403664833500348,0.511058088604296,0.22321794533914,4.40002211107549E-06,5.39774755911288E-08,0.00487509537180001,0.0886354177891205,1.28890590898034E-12,1.52824366224455E-06,109.5
0.385878894289691,0.444671868113595,0.090831021483175,5.28043117829512E-06,6.3877295789401E-08,0.00499312192797102,0.0880394305374269,9.28497975737146E-13,2.60772295606823E-06,139.7
0.153486184359944,0.302984941290457,0.18111947496236,5.35475431985031E-06,6.53151174543287E-08,0.00654003972340387,0.0894453866425574,6.1912060727893E-13,2.25833869510453E-06,112.9
0.178611069473088,0.286817389685443,0.131588775291994,5.24280401666631E-06,6.2550755677587E-08,0.00570033237161292,0.0866178250583534,1.74201004470063E-12,2.26711360828969E-06,128.1
