phi,rho,eps,theta,alpha,mu,r,b,gamma,CM55,CM75,Response
0.20935,0.23448,0.088441,8.894e-06,5.4328e-08,0.0044212,0.087687,1.0324e-12,1.8312e-06,8783.0605,318109.6627,CR
0.24271,0.34623,0.1417,7.7404e-06,6.9594e-08,0.0057842,0.085876,7.8655e-13,2.007e-06,1.398,-4.9396e-14,NR
0.30064,0.37881,0.154,3.9925e-06,6.8909e-08,0.0074815,0.08636,8.2343e-13,2.2717e-06,213602.7105,555042.0259,CR
0.32641,0.38579,0.071091,5.3475e-06,6.1078e-08,0.0054053,0.084455,7.3472e-13,1.8711e-06,5612.2502,54612.1678,CR
0.23718,0.34915,0.13003,6.5529e-06,4.2463e-08,0.007353,0.08674,1.5262e-12,1.6418e-06,240957.9418,491363.252,CR
0.2227,0.23319,0.10863,2.7418e-06,6.0759e-08,0.0049837,0.083858,1.1306e-12,1.5518e-06,17.2929,-1.2567e-11,NR
0.13932,0.20755,0.13973,6.3022e-06,4.9626e-08,0.0028481,0.089365,2.136e-12,1.9697e-06,354049.6033,869682.2233,CR
0.3009,0.31591,0.16315,5.4927e-06,5.7981e-08,0.0030232,0.088771,1.9741e-12,2.2516e-06,954033.9431,2637624.7716,CR
0.21349,0.21543,0.19252,5.828e-06,4.6737e-08,0.0049269,0.086671,2.0698e-12,1.5396e-06,1187579.8514,4385013.7274,CR
0.40441,0.42012,0.080349,7.3123e-06,5.7125e-08,0.0070836,0.084821,1.0885e-12,1.4907e-06,0.099133,1.8078e-13,NR
0.27379,0.31132,0.17801,8.896e-06,6.5644e-08,0.0058273,0.082669,2.1692e-12,1.8674e-06,692708.2329,1899972.0446,CR
0.41804,0.52842,0.17467,5.387e-06,7.1917e-08,0.0031527,0.085497,1.4241e-12,1.9462e-06,0.074765,-1.8228e-13,NR
0.2157,0.32286,0.13851,5.1879e-06,6.6599e-08,0.0039057,0.090304,1.215e-12,2.3155e-06,0.43813,-5.6022e-13,NR
0.23942,0.31547,0.12954,3.0392e-06,5.7186e-08,0.0050916,0.090245,7.724e-13,2.5635e-06,507870.154,823201.5631,CR
0.3858,0.49204,0.12146,4.6184e-06,6.7129e-08,0.0046581,0.074623,1.1801e-12,1.5028e-06,158405.9036,399854.0384,CR
0.32772,0.34824,0.083615,6.8564e-06,6.2171e-08,0.0024363,0.089922,1.0082e-12,1.9645e-06,0.00021846,-3.1926e-14,NR
0.31198,0.44579,0.19168,6.8417e-06,6.546e-08,0.0049788,0.087258,9.9852e-13,1.7238e-06,9.3369e-07,-4.1388e-14,NR
0.26656,0.37,0.11756,8.146e-06,4.073e-08,0.0038585,0.089305,1.7705e-12,1.7114e-06,156970.309,426632.4218,CR
0.12655,0.22926,0.11296,7.579e-06,6.8603e-08,0.0059503,0.079518,8.4612e-13,2.0162e-06,316659.6025,510260.4596,CR
0.20398,0.40521,0.2038,7.3881e-06,5.1455e-08,0.005757,0.089495,2.0236e-12,2.3704e-06,461433.2739,512068.8622,CR
0.11017,0.15705,0.23389,8.7969e-06,6.8264e-08,0.005876,0.078765,1.8834e-12,1.6279e-06,1245822.9911,2974727.2584,CR
0.1283,0.29555,0.17537,6.557e-06,7.1768e-08,0.0032401,0.076644,1.1093e-12,1.8137e-06,294330.4545,449868.193,CR
0.29204,0.29468,0.13709,3.1039e-06,6.4218e-08,0.0024688,0.090075,1.6986e-12,2.6417e-06,772462.2324,2288246.1809,CR
0.38505,0.56588,0.20014,5.6198e-06,7.1382e-08,0.0028459,0.086559,1.0568e-12,1.7286e-06,1.6191e-10,-4.5353e-15,NR
0.17384,0.19536,0.08374,4.5933e-06,5.3858e-08,0.007963,0.090184,2.196e-12,1.5359e-06,2.5431e-08,-1.6236e-14,NR
0.24761,0.25271,0.10501,7.7304e-06,6.6583e-08,0.0076344,0.082111,1.4941e-12,1.9942e-06,527915.4739,1652690.9595,CR
0.17258,0.18198,0.12526,9.0222e-06,7.103e-08,0.0061356,0.079784,1.6191e-12,1.9143e-06,671643.5501,2052667.7879,CR
0.13036,0.18477,0.077128,6.2108e-06,5.9586e-08,0.0041316,0.079007,5.8431e-13,1.6268e-06,167007.3549,486910.7726,CR
0.18494,0.32235,0.16219,2.4341e-06,7.0714e-08,0.0074132,0.079319,9.7414e-13,1.9584e-06,343364.7397,476182.823,CR
0.35934,0.53227,0.20999,3.3138e-06,7.0617e-08,0.0061702,0.073869,7.0857e-13,1.5355e-06,354832.1173,547081.1573,CR
0.42086,0.43531,0.1591,7.9135e-06,6.6239e-08,0.0071521,0.086149,8.3217e-13,1.6192e-06,1.0403e-05,-3.7719e-15,NR
0.18774,0.23032,0.11632,8.8267e-06,6.549e-08,0.003196,0.08814,1.753e-12,2.0046e-06,0.12406,-1.8148e-13,NR
0.33985,0.3622,0.21685,6.9302e-06,7.1015e-08,0.0026037,0.087158,1.0053e-12,1.9354e-06,0.091448,2.793e-14,NR
0.12165,0.15703,0.0925,7.7858e-06,6.1815e-08,0.0069926,0.081779,1.6931e-12,1.7247e-06,108920.8743,566344.2099,CR
0.11899,0.27665,0.15979,4.7069e-06,5.486e-08,0.0079653,0.087527,6.9023e-13,2.1237e-06,211000.2736,315121.6923,CR
0.11153,0.17498,0.19803,9.2378e-06,4.5568e-08,0.0073964,0.089969,1.8957e-12,1.7617e-06,652477.9981,1621952.659,CR
0.34157,0.36761,0.15318,5.9499e-06,6.5403e-08,0.0029778,0.087251,2.0158e-12,1.9998e-06,2305.3995,335852.2022,CR
0.29045,0.32204,0.066275,6.249e-06,7.0864e-08,0.0050742,0.087411,2.0975e-12,2.6438e-06,186523.0068,478261.2397,CR
0.29935,0.40785,0.11703,2.7104e-06,6.643e-08,0.0036793,0.083604,2.2313e-12,1.5538e-06,6.8318e-05,-4.7214e-14,NR
0.25093,0.32146,0.075126,8.8566e-06,7.1734e-08,0.0048488,0.087427,1.3714e-12,2.4988e-06,11909.8313,93016.7177,CR
0.31515,0.377,0.10419,2.9299e-06,6.5902e-08,0.0077725,0.090227,8.9119e-13,2.8303e-06,332918.7905,580578.9021,CR
0.20034,0.33458,0.13535,3.8326e-06,4.8626e-08,0.0028135,0.089427,2.2094e-12,1.7902e-06,669.9761,3.0008,NR
0.34102,0.50234,0.2275,6.2754e-06,6.8736e-08,0.0059902,0.088747,1.0926e-12,1.9026e-06,3.0332e-08,6.9672e-15,NR
0.30861,0.40932,0.15193,2.4853e-06,5.6763e-08,0.0055613,0.088745,1.3602e-12,1.7095e-06,0.0044091,-4.596e-14,NR
0.27313,0.3168,0.063316,2.4155e-06,6.9056e-08,0.0033701,0.08301,1.0034e-12,1.6011e-06,0.00026419,-6.1937e-14,NR
0.32467,0.34549,0.16777,5.2764e-06,6.6803e-08,0.0068802,0.081736,1.3231e-12,1.9014e-06,905203.4468,2404642.8898,CR
0.25398,0.30412,0.14657,3.9107e-06,7.0364e-08,0.0043209,0.078642,1.1694e-12,1.6873e-06,322913.1364,1015458.4587,CR
0.15321,0.35831,0.23078,6.5403e-06,6.9322e-08,0.004468,0.08838,9.8745e-13,1.963e-06,3.4414e-07,2.8098e-15,NR
0.36028,0.41505,0.089931,5.5939e-06,6.4263e-08,0.0077228,0.085234,5.9481e-13,2.0883e-06,91767.7654,346313.2269,CR
0.28643,0.33759,0.15529,6.0262e-06,6.7604e-08,0.0034255,0.085001,6.3212e-13,1.5192e-06,1.3162e-07,-3.238e-14,NR
0.35489,0.43625,0.10083,4.2041e-06,6.6644e-08,0.0038927,0.087666,1.7412e-12,2.5294e-06,211195.5278,404091.2359,CR
0.12986,0.18636,0.10706,7.0693e-06,5.5006e-08,0.0044178,0.082739,2.145e-12,1.5582e-06,29132.1712,388817.0409,CR
0.12712,0.16027,0.060218,4.4655e-06,6.4832e-08,0.0053389,0.090033,1.6701e-12,2.6736e-06,143598.5548,374326.8542,CR
0.36172,0.37028,0.19499,5.5208e-06,6.3299e-08,0.003178,0.088608,1.7842e-12,2.1719e-06,716282.481,2649117.532,CR
0.41573,0.49528,0.13789,4.2609e-06,4.0729e-08,0.0068063,0.086807,2.2143e-12,1.5405e-06,408129.5489,874591.2971,CR
0.16696,0.17603,0.20372,5.1961e-06,5.9453e-08,0.0028459,0.088125,1.0824e-12,1.6527e-06,0.066084,-1.9516e-13,NR
0.1106,0.21338,0.12582,7.9857e-06,7.0755e-08,0.0043371,0.08823,5.7343e-13,2.8687e-06,351315.3041,529810.0922,CR
0.18825,0.23271,0.084414,6.7684e-06,6.734e-08,0.0028431,0.083749,1.138e-12,2.2802e-06,330858.7319,739288.1906,CR
0.1492,0.22859,0.18068,3.8989e-06,6.8142e-08,0.0074664,0.089131,2.2462e-12,2.2635e-06,367.3244,0.027869,NR
0.14911,0.16479,0.11614,9.241e-06,6.8578e-08,0.0064411,0.081524,2.1742e-12,1.6791e-06,1928.1588,263863.6345,CR
0.14968,0.23993,0.23398,7.2591e-06,6.2577e-08,0.0067756,0.086093,1.6043e-12,1.4874e-06,4.8013e-06,-5.7449e-14,NR
0.35245,0.49949,0.22176,6.1516e-06,5.2392e-08,0.0062255,0.089234,1.9907e-12,2.1602e-06,602235.9956,809929.049,CR
0.41496,0.49933,0.090387,8.9185e-06,6.3824e-08,0.0047639,0.081942,1.7566e-12,1.7969e-06,9983.8489,94872.8589,CR
0.27044,0.272,0.069805,8.7581e-06,3.8468e-08,0.0052771,0.086981,8.3873e-13,1.5021e-06,340077.2146,1307751.1805,CR
0.2686,0.35601,0.20298,6.2888e-06,6.011e-08,0.0034421,0.087092,1.3354e-12,1.7828e-06,72.4369,3.2963e-07,NR
0.12446,0.13637,0.15666,9.4489e-06,5.5399e-08,0.0033582,0.087602,1.143e-12,1.5687e-06,0.29275,-1.5393e-13,NR
0.17403,0.22104,0.09653,7.767e-06,4.6739e-08,0.0048205,0.089371,1.9049e-12,1.9036e-06,238441.3624,692982.7104,CR
0.21303,0.23494,0.11599,3.2452e-06,6.8852e-08,0.0029163,0.078433,1.1244e-12,1.5123e-06,19671.4905,501908.0203,CR
0.382,0.56081,0.19065,6.0647e-06,5.5768e-08,0.0077836,0.090193,1.9196e-12,2.1032e-06,1227.1765,159.4539,NR
0.24327,0.33481,0.091774,3.2872e-06,6.0006e-08,0.0076963,0.081526,2.1916e-12,1.577e-06,515.9768,0.95891,NR
0.28863,0.47544,0.22521,3.1129e-06,4.7037e-08,0.0076088,0.08917,1.0476e-12,1.5424e-06,3.3414,-2.9035e-12,NR
0.1069,0.19716,0.11704,3.5606e-06,6.647e-08,0.0040159,0.083894,1.5986e-12,2.1739e-06,257438.7282,479809.9307,CR
0.3673,0.57241,0.22241,4.8498e-06,6.7049e-08,0.0027472,0.089668,1.6812e-12,2.809e-06,346067.7782,418104.3587,CR
0.256,0.30026,0.21881,8.3374e-06,6.2354e-08,0.0050982,0.088148,7.6036e-13,2.1415e-06,778586.35,2054000.7472,CR
0.29822,0.37176,0.11857,4.2653e-06,5.4006e-08,0.0066853,0.088235,1.3788e-12,2.1591e-06,360880.8681,666883.533,CR
0.22838,0.29444,0.07394,8.852e-06,5.2483e-08,0.0071217,0.085488,2.1703e-12,1.977e-06,213394.4573,441745.1498,CR
0.37192,0.51271,0.16425,4.4312e-06,5.7767e-08,0.002497,0.084136,1.7215e-12,2.1044e-06,507289.7432,687360.0346,CR
0.32465,0.44725,0.19694,2.7046e-06,7.1912e-08,0.0054792,0.08856,1.3234e-12,2.3554e-06,225.251,1.8407e-05,NR
0.26648,0.36067,0.13401,5.338e-06,6.4477e-08,0.0067777,0.084061,1.9364e-12,1.9078e-06,23024.8905,220991.8339,CR
0.40819,0.43811,0.066213,9.1924e-06,6.7887e-08,0.0029513,0.077064,2.0149e-12,1.7256e-06,219449.3882,666693.7069,CR
0.31625,0.367,0.13574,5.5369e-06,5.6322e-08,0.0026194,0.087455,8.2339e-13,1.5184e-06,0.00016019,-9.6971e-14,NR
0.40776,0.5575,0.15361,3.0308e-06,6.8003e-08,0.0055765,0.076018,6.0183e-13,1.6918e-06,282148.7574,415505.6222,CR
0.36621,0.37781,0.1159,3.2775e-06,6.5476e-08,0.0074769,0.084072,1.3469e-12,1.7866e-06,5727.5026,306522.2367,CR
0.17319,0.33817,0.1902,8.3016e-06,5.9402e-08,0.0062782,0.087715,1.095e-12,2.0518e-06,9627.6568,106697.789,CR
0.25758,0.40481,0.16113,2.679e-06,5.997e-08,0.0021807,0.080736,1.35e-12,1.5614e-06,10174.6269,30316.6388,CR
0.24507,0.2888,0.060035,4.6746e-06,5.5702e-08,0.0048508,0.089425,1.5261e-12,2.436e-06,224514.2303,478682.0386,CR
0.4169,0.44263,0.1458,7.1292e-06,6.7954e-08,0.0046694,0.081915,5.7381e-13,2.0228e-06,785374.5265,2002478.8694,CR
0.14688,0.17382,0.11961,7.8628e-06,7.193e-08,0.0072843,0.080005,1.894e-12,1.9253e-06,448357.9436,1256619.6475,CR
0.34787,0.50989,0.20698,3.4825e-06,6.1079e-08,0.0053355,0.090265,9.933e-13,2.0685e-06,0.19932,3.9637e-14,NR
0.33997,0.3536,0.1142,4.3794e-06,7.143e-08,0.0063795,0.079891,1.4795e-12,1.6282e-06,3449.1399,222149.5317,CR
0.36626,0.37123,0.1494,4.1935e-06,5.9461e-08,0.005867,0.088012,1.1128e-12,1.7387e-06,1.1505,1.0983e-13,NR
0.1932,0.23782,0.17108,9.3603e-06,6.2813e-08,0.0029599,0.082264,2.0874e-12,1.7029e-06,401348.1335,1521956.655,CR
0.33886,0.40968,0.17982,2.8301e-06,7.1929e-08,0.0032343,0.089484,9.2541e-13,2.6223e-06,272762.7793,705001.7598,CR
0.41781,0.42199,0.098507,2.6242e-06,5.7979e-08,0.0060581,0.082856,1.4222e-12,1.5917e-06,94902.1584,788734.9816,CR
0.19216,0.30208,0.11352,8.2848e-06,6.3804e-08,0.0047281,0.087402,1.0174e-12,1.643e-06,2.9721e-09,3.8936e-15,NR
0.17871,0.26177,0.19646,7.7285e-06,7.0637e-08,0.0029814,0.088256,7.6486e-13,1.8972e-06,8.3071e-08,-8.0381e-15,NR
0.32099,0.3785,0.17065,8.4553e-06,5.9893e-08,0.0065671,0.087324,1.6869e-12,1.9209e-06,57056.4715,772012.8901,CR
0.37604,0.42033,0.08617,9.1162e-06,6.6037e-08,0.00518,0.082805,1.1401e-12,2.0095e-06,177995.0771,546611.1007,CR
0.25047,0.33507,0.13913,8.0656e-06,4.8769e-08,0.0059981,0.090026,1.5976e-12,1.6429e-06,0.65341,2.7664e-13,NR
0.21035,0.22387,0.11471,4.0668e-06,4.9687e-08,0.0041325,0.08718,8.3302e-13,1.5582e-06,5373.2932,407117.7738,CR
0.17342,0.22556,0.13144,4.7253e-06,6.5506e-08,0.0067791,0.089189,6.0233e-13,1.5431e-06,-2.6054e-15,-4.4188e-15,NR
0.2086,0.24213,0.065066,4.2984e-06,6.374e-08,0.0069268,0.079461,1.8057e-12,1.675e-06,93628.6919,380627.4868,CR
0.14895,0.24348,0.15798,6.9445e-06,4.8241e-08,0.0035855,0.085695,9.3069e-13,1.5298e-06,40685.6639,502529.1096,CR
0.21506,0.30192,0.2125,4.8968e-06,6.9402e-08,0.0074932,0.089548,2.0721e-12,2.2262e-06,1.0928,-9.6109e-13,NR
0.30413,0.37763,0.073779,8.3869e-06,6.0773e-08,0.0036019,0.086219,1.1935e-12,2.1886e-06,99618.384,271258.1783,CR
0.13574,0.19653,0.11287,7.6497e-06,6.6726e-08,0.006566,0.085667,2.1703e-12,2.4454e-06,441065.2271,814494.4096,CR
0.13657,0.26045,0.13819,2.9563e-06,5.785e-08,0.0041243,0.084763,7.7393e-13,2.0001e-06,256689.369,425982.2373,CR
0.29526,0.36602,0.072622,4.4784e-06,6.0652e-08,0.0038634,0.079035,2.1629e-12,1.7572e-06,208310.6595,430521.276,CR
0.36231,0.43133,0.21016,7.7324e-06,6.4721e-08,0.0061972,0.081303,1.3827e-12,1.494e-06,1160.6259,63567.5447,CR
0.3008,0.34262,0.14123,5.7499e-06,6.4765e-08,0.0029331,0.085382,1.4504e-12,1.7714e-06,7.2354,1.3146e-12,NR
0.33651,0.36821,0.1069,4.2357e-06,5.5137e-08,0.0069626,0.090226,1.299e-12,2.0578e-06,33738.7094,414922.8202,CR
0.12386,0.24289,0.18687,5.7185e-06,5.964e-08,0.0031572,0.082018,2.1021e-12,1.6794e-06,231790.9992,665973.7661,CR
0.20334,0.32381,0.18074,4.7962e-06,6.7667e-08,0.0066375,0.084698,1.3161e-12,1.7147e-06,0.0070211,-2.1087e-14,NR
0.23665,0.35426,0.11915,6.3751e-06,5.6808e-08,0.0042721,0.086533,1.4201e-12,1.7066e-06,0.71877,-8.9865e-13,NR
0.26999,0.31979,0.06327,4.7335e-06,5.486e-08,0.0055963,0.086798,1.4346e-12,1.5872e-06,0.018036,-6.0317e-14,NR
0.2688,0.32951,0.12163,3.8405e-06,6.7644e-08,0.0049776,0.087653,7.5561e-13,1.689e-06,2.1225e-10,-1.5641e-14,NR
0.34317,0.39703,0.078705,4.4768e-06,6.2246e-08,0.0069041,0.082153,1.8157e-12,1.9562e-06,231743.674,509055.0468,CR
0.39001,0.39808,0.082793,7.4275e-06,6.3706e-08,0.0042478,0.086676,1.92e-12,2.3981e-06,434368.5801,1260685.3333,CR
0.15408,0.22693,0.20786,4.0199e-06,5.6837e-08,0.004367,0.086869,1.2905e-12,2.0471e-06,913006.4268,1652263.728,CR
0.41909,0.4549,0.065295,7.2574e-06,6.6693e-08,0.0026266,0.087666,6.4154e-13,2.2104e-06,258.5102,12.0663,NR
0.34638,0.50094,0.17598,4.0757e-06,6.2195e-08,0.0026848,0.08937,2.0637e-12,2.4331e-06,159262.9611,306222.4895,CR
0.1145,0.15263,0.078229,6.3158e-06,7.0127e-08,0.0033698,0.088736,1.0714e-12,1.8999e-06,1.2056e-10,-4.2649e-15,NR
0.41553,0.43947,0.093883,3.2557e-06,4.831e-08,0.0058184,0.087472,2.124e-12,1.6697e-06,93305.5512,603084.3711,CR
0.22463,0.25399,0.11934,6.3697e-06,6.0252e-08,0.0037878,0.084428,6.1616e-13,1.9093e-06,373499.4869,1164363.0379,CR
0.27903,0.31111,0.064297,3.0607e-06,6.8858e-08,0.006312,0.081895,1.2301e-12,1.5621e-06,0.0071041,-1.266e-13,NR
0.12724,0.1641,0.083912,9.1618e-06,6.1453e-08,0.0031161,0.079436,1.5997e-12,1.6111e-06,135116.2725,610911.9835,CR
0.17331,0.20753,0.10655,8.2945e-06,6.4879e-08,0.0068268,0.082899,6.2842e-13,2.1161e-06,514263.4803,1180801.3826,CR
0.31081,0.43441,0.18228,6.5214e-06,6.7642e-08,0.0041825,0.090352,1.8749e-12,2.8453e-06,429336.742,623712.8621,CR
0.39656,0.55602,0.17317,6.5192e-06,6.5964e-08,0.0043532,0.082242,1.6809e-12,1.8682e-06,28959.6615,153837.054,CR
0.24465,0.37056,0.14736,3.618e-06,6.757e-08,0.0050478,0.079145,6.8457e-13,1.6924e-06,55242.1899,224506.8898,CR
0.39071,0.41655,0.16377,8.6964e-06,5.8963e-08,0.0038706,0.08904,1.4996e-12,1.8842e-06,65.0345,5.9827e-06,NR
0.28966,0.34262,0.13423,7.7947e-06,6.9193e-08,0.0049165,0.083264,9.7993e-13,2.2091e-06,538218.7305,1125557.7293,CR
0.39559,0.46613,0.15211,3.7082e-06,5.9539e-08,0.0045978,0.088952,1.3853e-12,1.9598e-06,71.2186,8.9373e-08,NR
0.12915,0.2921,0.17074,4.1494e-06,6.6077e-08,0.0079592,0.089926,1.484e-12,1.8264e-06,-1.1953e-11,1.3482e-14,NR
0.30555,0.36603,0.13898,6.3814e-06,6.9108e-08,0.0053294,0.082688,9.6655e-13,2.0452e-06,366032.365,868449.666,CR
0.12145,0.15527,0.18082,6.6747e-06,6.7256e-08,0.0073683,0.080454,8.0155e-13,1.5858e-06,180551.8155,1444869.8817,CR
0.24564,0.43762,0.22016,9.0151e-06,6.3328e-08,0.005158,0.089753,1.3027e-12,1.8363e-06,8.6752e-09,6.6018e-15,NR
0.31316,0.31611,0.073499,9.5254e-06,6.8947e-08,0.0032003,0.087182,1.4899e-12,2.2603e-06,16770.0673,357175.2051,CR
0.33553,0.49648,0.17244,7.0225e-06,5.8875e-08,0.0049978,0.08281,2.1502e-12,1.7875e-06,95189.2703,272050.5429,CR
0.25822,0.28402,0.086556,6.1331e-06,4.8786e-08,0.006213,0.085192,7.734e-13,1.7872e-06,421537.8454,1104996.1169,CR
0.32788,0.49852,0.20538,5.7029e-06,6.4876e-08,0.0073476,0.079614,1.671e-12,1.5821e-06,10745.4259,108386.8592,CR
0.22079,0.24421,0.06044,6.2505e-06,5.9659e-08,0.0078263,0.090134,1.8944e-12,1.7303e-06,2.4653e-09,-7.6858e-15,NR
0.2827,0.33324,0.10978,7.0389e-06,5.1676e-08,0.0079398,0.083952,1.0778e-12,1.7479e-06,405857.0237,931168.1533,CR
0.17916,0.25911,0.15767,2.6168e-06,5.6019e-08,0.0048319,0.08907,2.0777e-12,1.6088e-06,4.6238e-05,-3.4588e-14,NR
0.22349,0.35554,0.1446,9.5667e-06,6.8093e-08,0.0072208,0.084402,5.8309e-13,1.8449e-06,0.35015,-1.0446e-12,NR
0.31254,0.48267,0.17295,8.5239e-06,5.6035e-08,0.0031054,0.078575,1.4677e-12,1.5953e-06,293473.5539,477528.503,CR
0.21335,0.2786,0.14492,5.0516e-06,5.613e-08,0.0039028,0.086839,1.2615e-12,1.6918e-06,84.5736,4.9799e-06,NR
0.22339,0.33801,0.13928,5.1194e-06,5.1559e-08,0.0037842,0.086078,1.4327e-12,1.8338e-06,193309.7005,442149.6505,CR
0.15445,0.3259,0.18071,3.0671e-06,4.7383e-08,0.0063071,0.089343,8.9465e-13,1.982e-06,243119.6116,356969.8451,CR
0.28969,0.45222,0.19101,2.8713e-06,3.9268e-08,0.005728,0.086423,1.0508e-12,1.5399e-06,430521.9658,623433.4557,CR
0.18524,0.24874,0.063793,6.973e-06,5.1808e-08,0.0078776,0.083575,2.0333e-12,1.5627e-06,2603.8371,14802.2807,CR
0.41681,0.58922,0.21842,2.9031e-06,6.3089e-08,0.0022946,0.080608,1.5106e-12,1.628e-06,66301.9314,304073.6088,CR
0.16487,0.23195,0.088215,7.2694e-06,6.5059e-08,0.007868,0.082996,2.182e-12,1.6952e-06,4.4329,-6.647e-12,NR
0.42092,0.57648,0.22728,9.5641e-06,5.8543e-08,0.0028038,0.088946,1.8506e-12,2.1312e-06,147521.0039,515934.6863,CR
0.28939,0.43126,0.14642,3.9931e-06,3.8169e-08,0.0024238,0.089691,1.3074e-12,1.8003e-06,397176.2301,581936.2693,CR
0.13326,0.24753,0.20569,7.7544e-06,5.6731e-08,0.0024688,0.088654,1.2617e-12,2.2588e-06,680454.376,1064518.1869,CR
0.11552,0.14667,0.13702,7.9927e-06,5.7831e-08,0.0057895,0.082939,5.6799e-13,1.8044e-06,668335.7587,1732209.8874,CR
0.41882,0.43527,0.16064,3.255e-06,5.5331e-08,0.0076908,0.08415,1.6694e-12,1.6681e-06,671304.1669,2123666.751,CR
0.28292,0.33871,0.071853,6.7257e-06,5.0449e-08,0.0032729,0.088155,1.3851e-12,1.498e-06,0.0012443,-5.9978e-14,NR
0.42358,0.43057,0.2142,8.4461e-06,6.4031e-08,0.0079492,0.088021,1.0424e-12,1.8263e-06,1.8028,-1.0602e-12,NR
0.34308,0.36551,0.067158,7.2993e-06,5.8706e-08,0.0060959,0.086948,1.3622e-12,2.2074e-06,236948.4145,663164.9923,CR
0.32784,0.35658,0.12639,2.602e-06,7.0242e-08,0.0035615,0.087205,1.0639e-12,1.6e-06,-2.1293e-12,1.4575e-14,NR
0.16357,0.22389,0.12655,2.4893e-06,6.36e-08,0.0053764,0.080906,1.7524e-12,1.5269e-06,892.0586,3.1047,NR
0.41255,0.45267,0.062579,9.126e-06,6.7036e-08,0.0037764,0.085095,1.4327e-12,1.678e-06,8.8149e-06,7.5647e-15,NR
0.14906,0.25516,0.11466,9.5786e-06,4.9845e-08,0.0054793,0.08939,1.4606e-12,1.6541e-06,0.082174,-1.943e-13,NR
0.20251,0.39656,0.22605,2.8048e-06,5.0048e-08,0.0076308,0.08654,2.0246e-12,1.8073e-06,272136.619,414786.3337,CR
0.35965,0.39243,0.065801,7.7334e-06,7.1746e-08,0.0079589,0.079436,1.6598e-12,1.5749e-06,1.9586,-2.0767e-12,NR
0.30718,0.34788,0.060391,8.1838e-06,7.1875e-08,0.0061056,0.078215,1.275e-12,1.6336e-06,531.3307,231.1571,NR
0.12456,0.14232,0.20107,3.4893e-06,5.4186e-08,0.0054919,0.090319,8.7059e-13,1.778e-06,351.4687,0.0043085,NR
0.3749,0.41695,0.067568,8.7608e-06,5.0578e-08,0.0059253,0.089403,1.3493e-12,1.8979e-06,4858.9531,111228.5109,CR
0.18558,0.37989,0.22547,8.1669e-06,6.816e-08,0.0036447,0.086175,1.8949e-12,2.6088e-06,533842.7057,617399.3329,CR
0.27834,0.37512,0.12299,5.776e-06,4.8484e-08,0.0030335,0.089341,1.2958e-12,1.6844e-06,28.5297,2.3044e-08,NR
0.29163,0.29988,0.12945,3.3553e-06,4.7994e-08,0.0065768,0.085557,6.075e-13,1.6016e-06,606782.4967,2040466.0824,CR
0.41557,0.44589,0.081555,6.285e-06,4.8214e-08,0.0040227,0.086567,1.1947e-12,1.8181e-06,307573.9499,864959.8398,CR
0.21481,0.27995,0.1999,2.7732e-06,6.7792e-08,0.0032796,0.088247,1.1543e-12,2.254e-06,197353.5392,835120.403,CR
0.41555,0.48526,0.11789,3.2013e-06,5.6155e-08,0.0042668,0.086982,9.056e-13,2.0465e-06,276697.7764,609243.6941,CR
0.31016,0.44006,0.15422,8.3424e-06,6.9541e-08,0.0034975,0.083626,1.8649e-12,2.4466e-06,484712.6878,658415.3528,CR
0.19801,0.20653,0.1202,5.9877e-06,6.2582e-08,0.0030158,0.088865,9.3585e-13,2.2514e-06,275768.3799,1192051.6186,CR
0.11364,0.25687,0.18049,7.8536e-06,6.344e-08,0.0040584,0.084396,1.4428e-12,1.7952e-06,159.0061,0.0029431,NR
0.1075,0.23777,0.16596,7.7616e-06,5.5316e-08,0.0059508,0.085597,1.6277e-12,1.5326e-06,0.29212,-6.1708e-13,NR
0.27492,0.31546,0.11537,8.051e-06,6.7907e-08,0.0066095,0.082187,1.4879e-12,1.9356e-06,247471.9659,805195.6542,CR
0.36461,0.44939,0.11954,7.0909e-06,5.9732e-08,0.0038506,0.089512,2.1397e-12,1.6063e-06,3.7913e-11,2.4465e-15,NR
0.21941,0.25307,0.11968,7.9852e-06,4.8942e-08,0.0040108,0.085349,9.5296e-13,1.4929e-06,35718.1778,726419.7989,CR
0.28097,0.34599,0.071008,4.3502e-06,4.5297e-08,0.0037279,0.081704,2.2063e-12,1.4956e-06,201313.1385,477861.6476,CR
0.35066,0.39896,0.083164,8.826e-06,6.2794e-08,0.0024361,0.078286,1.1732e-12,1.4951e-06,15998.8369,262762.65,CR
0.32572,0.43668,0.23355,6.1715e-06,5.2247e-08,0.0075924,0.089279,6.4254e-13,1.7707e-06,14556.9159,634959.721,CR
0.36545,0.47261,0.17214,6.0225e-06,5.4086e-08,0.0075347,0.0809,1.7375e-12,1.6112e-06,543599.3637,915530.9173,CR
0.41683,0.45574,0.087552,9.4358e-06,5.2114e-08,0.002506,0.087808,6.8858e-13,2.0268e-06,277612.7671,772163.5105,CR
0.21993,0.27065,0.091744,5.0436e-06,6.1173e-08,0.0068697,0.090176,1.4966e-12,2.5513e-06,235052.5899,520551.9293,CR
0.1841,0.24236,0.23565,5.1391e-06,7.151e-08,0.0057134,0.084179,9.4462e-13,1.4969e-06,2.0847e-07,-1.4833e-14,NR
